,County,State,Total Biomass (dry tons),Gasification Plants,Weighted Average Cost ($/dt),Weighted Average MC,Weighted Average LCA (kg CO2e/dt),Raw Biomass (tons),Pretreated Biomass,Trucks Per Day,Total Transportation Cost ($/dt),Best Formation,Best Formation State,Raw Distance (mi),Transport Cost ($/t),Storage Cost ($/t),T&S Cost ($/t)
56,Carroll,IN,800806,3,56,0.2,-1.4287969539999998,1001007.5,882888.615,25,13.437931166474266,Mount Simon6,IN,37.2,3.18,7.41,10.59
305,Steele,MN,892602,3,56,0.2,-1.428796954,1115752.5,984093.705,25,13.437931166474266,Mount Simon3,IL,350,25.79,7.65,33.44
355,Dodge,MN,585255,2,56,0.2,-1.428796954,731568.75,645243.6375,25,13.437931166474266,Mount Simon3,IL,339.6,24.67,7.65,32.32
206,Redwood,MN,535730,2,56.00396247524564,0.1999433932107765,-1.375484756520986,669615.119047619,590638.4397619048,25,13.436980386078629,Basal Cambrian8,ND,314.6,23.12,11.96,35.08
325,Waseca,MN,629456,2,56,0.2,-1.428796954,786820,693975.24,25,13.437931166474266,Mount Simon3,IL,361.2,26.2,7.65,33.85
859,Fountain,IN,582763,2,56,0.2,-1.428796954,728453.75,642496.2075,25,13.437931166474266,Mount Simon6,IN,63,5.19,7.41,12.6
1041,Warren,IN,608180,2,56,0.2,-1.428796954,760225,670518.45,25,13.437931166474266,Mount Simon6,IN,69.1,5.66,7.41,13.07
1054,Clinton,IA,600809,2,56,0.2,-1.428796954,751011.25,662391.9225,25,13.437931166474266,Mount Simon3,IL,152.7,11.77,7.65,19.42
1055,DeKalb,IL,645058,2,56,0.2,-1.428796954,806322.5,711176.445,25,13.437931166474266,Mount Simon3,IL,138.7,10.6,7.65,18.25
1019,Scott,IA,612412,2,56,0.2,-1.428796954,765515,675184.23,25,13.437931166474266,Mount Simon3,IL,139.4,10.6,7.65,18.25
747,Kossuth,IA,614785,2,56,0.2,-1.428796954,768481.25,677800.4625,25,13.437931166474266,Mount Simon3,IL,343,25.07,7.65,32.72
755,Blue Earth,MN,625074,2,56,0.2,-1.428796954,781342.5,689144.085,25,13.437931166474266,Mount Simon3,IL,377.5,27.33,7.65,34.98
511,Iroquois,IL,543589,2,56,0.2,-1.428796954,679486.25,599306.8725,25,13.437931166474266,Mount Simon3,IL,94,7.32,7.65,14.97
2303,Brown,MN,602849,2,56.00447687963259,0.1999360445766772,-1.3685638228719208,753501.0119047619,664636.0829761905,25,13.436856966629982,Basal Cambrian8,ND,340,24.67,11.96,36.63
2365,Clay,SD,566229,2,56,0.2,-1.428796954,707786.25,624267.4725,25,13.437931166474266,Maha01,NE,303.3,21.97,9.23,31.2
2433,Bureau,IL,564323,2,56,0.2,-1.428796954,705403.75,622166.1075,25,13.437931166474266,Mount Simon3,IL,103.7,7.78,7.65,15.43
2731,Chippewa,MN,628572,2,56,0.2,-1.428796954,785715,693000.63,25,13.437931166474266,Basal Cambrian8,ND,272.7,20.01,11.96,31.97
2709,Sibley,MN,692965,2,56.00973763439678,0.1998608909371889,-1.2977842269147026,866055.6547619047,763981.5636904761,25,13.43559490020567,Basal Cambrian8,ND,340.2,24.67,11.96,36.63
2145,Swift,MN,628572,2,56,0.2,-1.428796954,785715,693000.63,25,13.437931166474266,Basal Cambrian8,ND,255.5,18.85,11.96,30.81
2000,Boone,IL,566421,2,56,0.2,-1.428796954,708026.25,624479.1525,25,13.437931166474266,Mount Simon3,IL,167.7,12.95,7.65,20.6
1874,Putnam,IL,750706,2,56,0.2,-1.428796954,938382.5,827653.365,25,13.437931166474266,Mount Simon3,IL,88.9,7.32,7.65,14.97
1845,McLean,IL,755687,2,56,0.2,-1.428796954,944608.75,833144.9175,25,13.437931166474266,Mount Simon3,IL,44.5,3.96,7.65,11.61
1571,Kane,IL,645058,2,56,0.2,-1.428796954,806322.5,711176.445,25,13.437931166474266,Mount Simon3,IL,146,11.34,7.65,18.99
1425,Blackford,IN,582285,2,56,0.2,-1.428796954,727856.25,641969.2125,25,13.437931166474266,Mount Simon6,IN,42.7,3.96,7.41,11.37
1544,Hill,MT,569092,2,58.8,0.16,36.24314891,677490.4761904762,624646.2190476191,25,12.798029682356448,Duperow-Lower1,MT,69.9,5.66,15.17,20.83
1218,Livingston,IL,687008,2,56,0.2,-1.428796954,858760,757426.32,25,13.437931166474266,Mount Simon3,IL,76.2,6.11,7.65,13.76
1324,Watonwan,MN,602849,2,56.00447687963259,0.1999360445766772,-1.3685638228719208,753501.0119047619,664636.0829761905,25,13.436856966629982,Mount Simon3,IL,393.9,28.46,7.65,36.11
1122,Clinton,IN,576008,2,56,0.2,-1.428796954,720010,635048.82,25,13.437931166474266,Mount Simon6,IN,23.2,3.18,7.41,10.59
2790,Union,SD,566229,2,56,0.2,-1.428796954,707786.25,624267.4725,25,13.437931166474266,Maha01,NE,316.8,23.12,9.23,32.35
1132,Richland,ND,586938,2,56.765230263644845,0.1890681390907879,8.866814855115333,723782.1428571428,646288.1357142858,25,13.256779578405256,Basal Cambrian8,ND,164.4,12.2,11.96,24.16
96,Hickman,KY,284615,1,56.47879618902084,0.1931600544425594,5.01305451481522,352752.7380952381,313540.7245238096,25,13.324011772560503,Knox5,KY,107.9,8.52,10.89,19.41
77,Wright,IA,456563,1,56,0.2,-1.428796954,570703.75,503360.7075,25,13.437931166474266,Mount Simon3,IL,303.9,22.7,7.65,30.35
95,Jay,IN,302493,1,56,0.2,-1.428796954,378116.25,333498.53250000003,25,13.437931166474266,Mount Simon6,IN,57.5,4.43,7.41,11.84
133,Dallam,TX,338207,1,56.05383096771375,0.196369054708259,1.395686799640843,420848.65196078434,372716.58946078434,25,13.377216241065396,Wolfcamp1,TX,122.7,9.72,8.01,17.73
98,Cass,ND,363992,1,56.8792743874332,0.1874389373223829,10.401194875637556,447956.4880952381,400724.4320238095,25,13.23019946064608,Basal Cambrian8,ND,124.8,9.72,11.96,21.68
110,Buffalo,NE,448866,1,56,0.2,-1.428796954,561082.5,494874.765,25,13.437931166474266,Maha01,NE,182.3,14.11,9.23,23.34
67,Sarpy,NE,345760,1,56.002097872818666,0.1999700303883048,-1.400571614266333,432183.8095238095,381199.0723809524,25,13.43742777335858,Arbuckle4,KS,288.6,21.57,8.38,29.95
184,Boone,IA,277104,1,56,0.2,-1.428796954,346380,305507.16,25,13.437931166474266,Mount Simon3,IL,285.4,20.83,7.65,28.48
230,Scott,IL,303594,1,56,0.2,-1.4287969539999998,379492.5,334712.385,25,13.437931166474266,Mount Simon3,IL,68.6,5.66,7.65,13.31
232,Rush,IN,392300,1,56,0.2,-1.428796954,490375,432510.75,25,13.437931166474266,Mount Simon6,IN,51.1,4.43,7.41,11.84
