,,"This sheet provides 2018 to 2023 Escalation Rate input options for specific to industries and/or regions, and calculates escalation factors, which are used in CTS Tool calcualtions that allow the user to display CTS costs in real 2018$ or real 2023$",,,,,,,,,,,,
CTS Component Type,Region,Industry,Industry-specific Escalation Rate from 2018 to 2023 (%),Industry Specific Escalation Factor (2018$ --> 2023$),Source of Indices Used to Determine Industry & Region Specific Escalation Factors,Source of Indices Reference,,,,,,,,
Capture,US,Power Plants,5.4,1.301,Dec. 2018 to Dec. 2022 CEPCI Final Equipment Index Values,Chemical Engineering Plant Cost Index,,,,,,,,
Capture,US,Cement,5.4,1.301,Dec. 2018 to Dec. 2022 CEPCI Final Equipment Index Values,Chemical Engineering Plant Cost Index,,,,,,,,
Capture,US,NG Processing,5.4,1.301,Dec. 2018 to Dec. 2022 CEPCI Final Equipment Index Values,Chemical Engineering Plant Cost Index,,,,,,,,
Capture,US,Ethanol,5.4,1.301,Dec. 2018 to Dec. 2022 CEPCI Final Equipment Index Values,Chemical Engineering Plant Cost Index,,,,,,,,
Capture,US,Ammonia,5.4,1.301,Dec. 2018 to Dec. 2022 CEPCI Final Equipment Index Values,Chemical Engineering Plant Cost Index,,,,,,,,
Capture,US,Ethylene Oxide,5.4,1.301,Dec. 2018 to Dec. 2022 CEPCI Final Equipment Index Values,Chemical Engineering Plant Cost Index,,,,,,,,
Capture,US,Iron/Steel,5.4,1.301,Dec. 2018 to Dec. 2022 CEPCI Final Equipment Index Values,Chemical Engineering Plant Cost Index,,,,,,,,
Capture,US,Hydrogen Production,5.4,1.301,Dec. 2018 to Dec. 2022 CEPCI Final Equipment Index Values,Chemical Engineering Plant Cost Index,,,,,,,,
Transport,N. Atlantic,CO2 Pipeline,7.2,1.367,Handy Whitman Index: Transmission Plant (mid 2018 - end of 2022),"The Handy-Whitman Index of Public Utility Construction Costs, 1912 to January 1, 2023 - Cost Trends of Gas Utility Construction,"" Whitman, Requardt, & Associates, LLP, Baltimore, MD, 2023. ",,,,,,,,
Transport,S. Atlantic,CO2 Pipeline,8.4,1.438,Handy Whitman Index: Transmission Plant (mid 2018 - end of 2022),"The Handy-Whitman Index of Public Utility Construction Costs, 1912 to January 1, 2023 - Cost Trends of Gas Utility Construction,"" Whitman, Requardt, & Associates, LLP, Baltimore, MD, 2023. ",,,,,,,,
Transport,N. Central,CO2 Pipeline,7.5,1.385,Handy Whitman Index: Transmission Plant (mid 2018 - end of 2022),"The Handy-Whitman Index of Public Utility Construction Costs, 1912 to January 1, 2023 - Cost Trends of Gas Utility Construction,"" Whitman, Requardt, & Associates, LLP, Baltimore, MD, 2023. ",,,,,,,,
Transport,S. Central,CO2 Pipeline,8.5,1.444,Handy Whitman Index: Transmission Plant (mid 2018 - end of 2022),"The Handy-Whitman Index of Public Utility Construction Costs, 1912 to January 1, 2023 - Cost Trends of Gas Utility Construction,"" Whitman, Requardt, & Associates, LLP, Baltimore, MD, 2023. ",,,,,,,,
Transport,Plateau,CO2 Pipeline,8.3,1.432,Handy Whitman Index: Transmission Plant (mid 2018 - end of 2022),"The Handy-Whitman Index of Public Utility Construction Costs, 1912 to January 1, 2023 - Cost Trends of Gas Utility Construction,"" Whitman, Requardt, & Associates, LLP, Baltimore, MD, 2023. ",,,,,,,,
