storage_type,uid,basin,formation_id,state,lon,lat
SALINE,1,,Arbuckle1,OK,-98.623787,36.493306
SALINE,2,,Arbuckle2,CO,-102.936109,38.64941
SALINE,3,,Arbuckle3,KS,-101.816956,39.276326
SALINE,4,,Arbuckle4,KS,-99.205676,37.695016
SALINE,5,,Atoka1,TX,-102.443718,31.793246
SALINE,6,,Atoka2,NM,-103.618913,32.964927
SALINE,7,,Basal Cambrian1,MT,-111.340871,48.435289
SALINE,8,,Basal Cambrian2,MT,-104.316713,47.842869
SALINE,9,,Basal Cambrian3,MT,-105.134155,47.614156
SALINE,10,,Basal Cambrian4,MT,-106.224958,47.390368
SALINE,11,,Basal Cambrian5,ND,-103.002938,47.784371
SALINE,12,,Basal Cambrian6,ND,-102.372194,47.229709
SALINE,13,,Basal Cambrian7,ND,-100.88397,47.471859
SALINE,14,,Basal Cambrian8,ND,-99.541962,47.85124
SALINE,15,,Basal Sandstone TN Zone 1,TN,-86.666865,35.785163
SALINE,16,,Basal Sandstone TN Zone 2,TN,-85.086487,35.737442
SALINE,17,,BassIsland01,MI,-84.548849,43.876485
SALINE,18,,Broom Creek1,MT,-104.378479,46.26644
SALINE,19,,Broom Creek2,ND,-102.444209,46.848871
SALINE,20,,Broom Creek3,SD,-102.437334,45.107174
SALINE,21,,Canyon1,TX,-101.641749,34.680495
SALINE,22,,Canyon2,NM,-103.845977,34.630852
SALINE,23,,Canyon3,TX,-102.456551,31.762763
SALINE,24,,Canyon4,NM,-103.637044,32.933798
SALINE,25,,Cedar Keys-Lawson1,FL,-81.232485,27.839607
SALINE,26,,Cedar Keys-Lawson2,FL,-81.245866,26.760484
SALINE,27,,Cedar Keys-Lawson3,FL,-80.766134,25.318595
SALINE,28,,CedarHills01,NE,-103.055053,41.997395
SALINE,29,,CedarHills02,SD,-103.124554,43.401913
SALINE,30,,CedarHills03,WY,-104.628989,41.877417
SALINE,31,,CedarHills04,CO,-104.121491,40.20082
SALINE,32,,Cisco1,TX,-101.65746,34.678773
SALINE,33,,Cisco2,NM,-103.845977,34.630852
SALINE,34,,Cisco3,TX,-102.456551,31.762763
SALINE,35,,Cisco4,NM,-103.637044,32.933798
SALINE,36,,Codell1,WY,-104.516247,41.618104
SALINE,37,,Codell2,NE,-103.260074,41.641797
SALINE,38,,Codell3,CO,-103.768497,39.919537
SALINE,39,,Conasauga1,OH,-81.966527,40.523108
SALINE,40,,Copper Ridge1,OH,-81.678052,39.292768
SALINE,41,,Copper Ridge2,PA,-79.902285,40.290126
SALINE,42,,Copper Ridge3,WV,-81.236855,39.066248
SALINE,43,,Copper Ridge4,OH,-81.744828,40.03234
SALINE,44,,Crow Mountain 1,WY,-108.620741,44.409192
SALINE,45,,Crow Mountain 2,MT,-109.232242,45.100491
SALINE,46,,Crow Mountain 3,MT,-109.181934,45.186981
SALINE,47,,Crow Mountain 4,WY,-108.405712,44.225225
SALINE,48,,Dakota1,CO,-108.067845,39.537561
SALINE,49,,Dakota2,CO,-106.286837,40.637939
SALINE,50,,Dakota3,CO,-107.842042,37.196487
SALINE,51,,Dakota4,NM,-107.860282,36.35666
SALINE,52,,Dakota5,UT,-110.418893,39.731114
SALINE,53,,Dakota6,CO,-104.972078,37.354395
SALINE,54,,Dakota7,NM,-104.972436,36.767704
SALINE,55,,Dakota8,CO,-103.829364,39.955409
SALINE,56,,Dakota9,WY,-104.531272,41.662894
SALINE,57,,Dakota10,NE,-103.237192,41.669831
SALINE,58,,Dakota11,WY,-108.951827,41.837934
SALINE,59,,Devonian1,NM,-104.018957,33.030687
SALINE,60,,Domengine,CA,-120.12411,36.688649
SALINE,61,,Domengine1,CA,-121.358152,38.071841
SALINE,62,,Domengine2,CA,-121.914081,39.433532
SALINE,63,,Duperow-Lower1,MT,-111.608297,48.437306
SALINE,64,,Duperow-Upper1,MT,-111.608297,48.437306
SALINE,65,,Entrada1,CO,-108.043892,39.586576
SALINE,66,,Entrada2,UT,-110.408938,39.645765
SALINE,67,,Entrada3,CO,-104.922716,37.393966
SALINE,68,,Entrada4,NM,-104.833223,36.780506
SALINE,69,,Entrada5,CO,-103.744671,39.716428
