,"This sheet provides baseline capture costs and CO2 capture-related performance data for prescribed CO2 point source types, based on NETL capture cost analyses.",,,,,,,,,,,,,,,,
,,,,Maximum CO2 Mass Flow Rate,Plant Output Capacity Factor (Average Annual Ouput/Maximum Annual Output),Average Mass Flow Rate of CO2 emissions (pre-capture),Capture Percent (Percent of CO2 Emissions Captured),Annual Average Captured CO2 Mass Flow Rate ,"Capture Cost, reported","Baseline Capture Cost, escalated",CO2 Source Primary Production (Plant Size),Effective Capacity Factor (Capture % * Plant Output CF),CTS Tool Lookup For Dedicated CCUS Projects,CTS Tool Lookup for Trunklines or Intermediate Storage Pipeline Infrastructure,,,
CO2 Source Number,Literature Source,CO2 Source Type,Numbered CO2 Sources (For CTS Tool Input Interface),Tonnes per annum (tpa),%,Million metric tonnes per annum (Mtpa),%,Mtpa,2018$/t,2023$/t,Commodity Units,%,(Annual Average Captured Mass Flow Rate; Effective CF),(Annual Average Captured Mass Flow Rate; Effective CF),,,
1,Microsoft Word - 201_001_015_FEB Rev4A_Rev11_20221019.docx (doe.gov),Shell IGCC,1. Shell IGCC," 4,322,291 ",80,3.458,90,3.112050,127.7,166.1093014,519.36 MW,72,3.2;72,3.2;100,,,
2,Microsoft Word - 201_001_015_FEB Rev4A_Rev11_20221019.docx (doe.gov),CB&I E-Gas IGCC,2. CB&I E-Gas IGCC," 4,445,119 ",80,3.556,90,3.200486,104.3,135.6711052,556.88 MW,72,3.3;72,3.3;100,,,
3,Microsoft Word - 201_001_015_FEB Rev4A_Rev11_20221019.docx (doe.gov),GEP Radian IGCC,3. GEP Radian IGCC," 4,403,958 ",80,3.523,90,3.170850,106.7,138.7929715,556.43 MW,72,3.2;72,3.2;100,,,
4,Microsoft Word - 201_001_015_FEB Rev4A_Rev11_20221019.docx (doe.gov),GEP Quench IGCC,4. GEP Quench IGCC," 4,406,754 ",80,3.525,90,3.172863,91.1,118.5008407,499.12 MW,72,3.2;72,3.2;100,,,
5,Microsoft Word - 201_001_015_FEB Rev4A_Rev11_20221019.docx (doe.gov),SubC PC (90% Capt),5. SubC PC (90% Capt)," 5,915,289 ",85,5.028,90,4.525196,37,48.12877173,650.42 MW,76.5,4.6;76.5,4.6;100,,,
6,Microsoft Word - 201_001_015_FEB Rev4A_Rev11_20221019.docx (doe.gov),SubC PC (95% Capt),6. SubC PC (95% Capt)," 6,008,681 ",85,5.107,95,4.852010,36.3,47.2182274,650.36 MW,80.8,4.9;80.8,4.9;100,,,
7,Microsoft Word - 201_001_015_FEB Rev4A_Rev11_20221019.docx (doe.gov),SubC PC (99% Capt),7. SubC PC (99% Capt)," 6,112,022 ",85,5.195,99,5.143267,36.4,47.34830517,650.46 MW,84.2,5.2;84.2,5.2;100,,,
8,Microsoft Word - 201_001_015_FEB Rev4A_Rev11_20221019.docx (doe.gov),SCPC (90% Capt),8. SCPC (90% Capt)," 5,632,725 ",85,4.788,90,4.309034,38.1,49.55962711,650.3 MW,76.5,4.4;76.5,4.4;100,,,
9,Microsoft Word - 201_001_015_FEB Rev4A_Rev11_20221019.docx (doe.gov),SCPC (95% Capt),9. SCPC (95% Capt)," 5,717,278 ",85,4.860,95,4.616702,37.3,48.51900502,650.33 MW,80.8,4.7;80.8,4.7;100,,,
10,Microsoft Word - 201_001_015_FEB Rev4A_Rev11_20221019.docx (doe.gov),SCPC (99% Capt),10. SCPC (99% Capt)," 5,811,034 ",85,4.939,99,4.889985,37.4,48.64908278,650.42 MW,84.2,4.9;84.2,4.9;100,,,
11,Microsoft Word - 201_001_015_FEB Rev4A_Rev11_20221019.docx (doe.gov),NGCC F-Class (90% Capt),11. NGCC F-Class (90% Capt)," 2,179,124 ",85,1.852,90,1.667030,60.7,78.9572012,644.908 MW,76.5,1.7;76.5,1.7;100,,,
