,"This sheet provides calculations and logic required to determine distance between the user input CO2 point source location and every viable potential CO2 storage (saline and EOR) field's geographic centroid location, as well as the FYBE cost of CO2 transport and storage for every viable potential CO2 storage location, following all user inputs.  The CTS tool finds the lowest cost T&S option based on the calculations in this sheet. ",,,,,,,,,,,,,,,,,,,,,,,,,
Storage Project Type,Formation Number UID,Basin,Formation Identifier,Formation State,Formation Centroid Longitude,Formation Centroid Latitude,,Point Source Coordinates Latitude,Point Source Coordinates Longitude,Dedicated or Trunkline Distance,Distance Estimate for CO2_T_COM Results,Dedicated or Trunkline Transport Cost,Parallel Trunkline Multiplier,Gathering Line Distance,Gathering Line Transport Cost,Distribution Line Distance,Distribution Line Cost,Combined Transport Cost,PISC,Shovel Ready EOR,Storage Cost,30 Year Capacity,T&S Cost If Eligible,Formation Identifier (Rpt.),,CTS Tool Utility: Storage Lookup Key
Storage Project Type (SALINE = saline aquifer; EOR = conventional oilfield converted to CO2 Enhanced Oil Revocery),"The unique identifying number aligns to CO2_S_COM geologic database formations, and CO2 EOR Evaluation System oilfields","The basin name is based on USGS oil and gas province names, used for conventional oilfields",aligns to CO2_S_COM geologic database formations; the numbers refer to defined portions of the overall reservoir,U.S. state abbreviation where the formation centroid is located,Saline formation or Basin - State (oilfield proxy) geographic centroid longitude,Saline formation or Basin - State (oilfield proxy) geographic centroid latitude,,latitude; decimal degrees (based on user source location input),longitude; decimal degrees (based on user source location input),"straight-line distance between point source and formation centroid, in miles, accounting for curvature of the earth","distance between point source and formation centroid, rounded to nearest 10 miles, accounting for user input tortuosity","CO2_T_COM FYBE cost, adjusted to user selected cost basis year","number of parallel trunklines selected by user (1, 2, or 3); default is 1 if dedicated pipeline option is selected by user","pipeline distance between point source and trunkline, if selected; 1/10th the length of the trunkline, maximum of 50 miles","CO2_T_COM FYBE cost of gathering pipeline, if trunkline option is selected by user","pipeline distance between trunkline and storage site, if trunkline selected; 1/10th the length of the trunkline, maximum of 50 miles","CO2_T_COM FYBE cost of distribution pipeline, if trunkline option is selected by user","Total Transport cost, for all estimated distances below 1000 miles.  CTS tool assumes pipelines over 1000 miles are not tenable.","Post Injection Site Care duration in years based on user selection, for saline storage projects","Flag whether the conventional oilfield is near the end of secondary (waterflood) recovery and could be likely to economically transition to tertiary (EOR) recovery, based on original and current oil in place estimates",CO2_S_COM FYBE cost of storage; or CO2 EOR Evaluation System FYBE price of CO2,"Flag whether the saline formation or conventional oilfield has adequate CO2 storage capacity, accounting for pressure interference, for 30 years of storage at user selected injection rate","Combined Transport and Storage FYBE cost, from Co2 source's perspective, if appropraite flags are ""Yes"" and transportation distance is <1000 miles","The unique identifying number aligns to CO2_S_COM geologic database formations, and CO2 EOR Evaluation System oilfields, repeated for CTS tool lookup functionality",,PISC - State - Average Mass Flow Rate - Formation - Capacity Factor lookup key for CO2_S_COM FYBE prices
SALINE/EOR,#,Basin - State Abbreviation (if multi-state basin),Formation and Number,Abbv.,decimal degrees,decimal degrees,,lat,long,mi,mi,2023$/t,multiple,mi,2023$/t,mi,2023$/t,2023$/t,Years,Yes/No,2023$/t,yes/no,2023$/t,fm,,S_COM cost lookup
SALINE,1,,Arbuckle1,OK,-98.623787,36.493306,,32.7666,-96.7779,278.3473711,320,10.23481642,1,30,2.280819455,30,1.674525676,14.19016155,50,,#N/A,#N/A,#N/A,Arbuckle1,,50-OK-2.4-Arbuckle1-100
SALINE,2,,Arbuckle2,CO,-102.936109,38.64941,,32.7666,-96.7779,533.7692018,610,18.82397829,1,50,4.013087396,50,2.569530778,25.40659646,50,,#N/A,#N/A,#N/A,Arbuckle2,,50-CO-2.4-Arbuckle2-100
SALINE,3,,Arbuckle3,KS,-101.816956,39.276326,,32.7666,-96.7779,531.0232699,610,18.82397829,1,50,4.013087396,50,2.569530778,25.40659646,50,,#N/A,#N/A,#N/A,Arbuckle3,,50-KS-2.4-Arbuckle3-100
SALINE,4,,Arbuckle4,KS,-99.205676,37.695016,,32.7666,-96.7779,367.4221455,420,13.22297861,1,40,2.973726631,40,2.136463793,18.33316904,50,,#N/A,#N/A,#N/A,Arbuckle4,,50-KS-2.4-Arbuckle4-100
SALINE,5,,Atoka1,TX,-102.443718,31.793246,,32.7666,-96.7779,338.0619711,390,12.45789361,1,40,2.973726631,40,2.136463793,17.56808403,50,,#N/A,#N/A,#N/A,Atoka1,,50-TX-2.4-Atoka1-100
SALINE,6,,Atoka2,NM,-103.618913,32.964927,,32.7666,-96.7779,397.6243731,460,14.65209966,1,50,4.013087396,50,2.569530778,21.23471784,50,,#N/A,#N/A,#N/A,Atoka2,,50-NM-2.4-Atoka2-100
SALINE,7,,Basal Cambrian1,MT,-111.340871,48.435289,,32.7666,-96.7779,1321.560659,1520,#N/A,1,50,4.013087396,50,2.569530778,#N/A,50,,#N/A,#N/A,#N/A,Basal Cambrian1,,50-MT-2.4-Basal Cambrian1-100
